Class,Precision,Recall,F1
Normal,0.6723404255319149,0.8586956521739131,0.7541766109785203
AF,0.9525862068965517,0.9364406779661016,0.9444444444444444
I-AVB,0.8701298701298701,0.9370629370629371,0.9023569023569024
LBBB,0.8867924528301887,0.8703703703703703,0.8785046728971964
RBBB,0.9216216216216216,0.9605633802816902,0.9406896551724138
PAC,0.6854838709677419,0.6538461538461539,0.6692913385826771
PVC,0.8064516129032258,0.7751937984496124,0.7905138339920948
STD,0.7791411042944786,0.774390243902439,0.7767584097859328
STE,0.75,0.45652173913043476,0.5675675675675675
Average,0.8138385739083993,0.8025649947981837,0.8027003817530833
